title,url,author,publishedDate
OpenAI’s newest model is GPT-4o,https://techcrunch.com/2024/05/13/openais-newest-model-is-gpt-4o/,Kyle Wiggers,2024-05-13T10:06:29-07:00
Vote for your Disrupt 2024 Audience Choice favs,https://techcrunch.com/2024/05/13/vote-for-your-disrupt-2024-audience-choice-favs/,TechCrunch Events,2024-05-13T06:00:00-07:00
Healthy growth helps B2B food e-commerce startup Pepper nab $30 million led by ICONIQ Growth,https://techcrunch.com/2024/05/13/pepper-iconiq-startup-foodservice-ecommerce-30m/,Christine Hall,2024-05-13T06:00:00-07:00
"Aplazo is using buy now, pay later as a stepping stone to financial ubiquity in Mexico",https://techcrunch.com/2024/05/13/aplazo/,Anna Heim,2024-05-13T06:57:23-07:00
Women in AI: Rep. Dar’shun Kendrick wants to pass more AI legislation,https://techcrunch.com/2024/05/12/women-in-ai-rep-darshun-kendrick-wants-to-pass-more-ai-legislation/,Dominic-Madori Davis,2024-05-12T10:00:00-07:00
Buymeacoffee’s founder has built an AI-powered voice note app,https://techcrunch.com/2024/05/13/buymeacoffees-founder-has-built-an-ai-powered-voice-note-app/,Ivan Mehta,2024-05-13T00:51:13-07:00
"A reckoning is coming for emerging venture funds, and that, VCs say, is a good thing",https://techcrunch.com/2024/05/12/emerging-fund-venture-capital/,Christine Hall,2024-05-12T09:00:00-07:00
Booking.com latest to fall under EU market power rules,https://techcrunch.com/2024/05/13/booking-latest-to-fall-under-eu-market-power-rules/,Natasha Lomas,2024-05-13T05:08:11-07:00
Alora Baby aims to push baby gear away from the ‘landfill economy’,https://techcrunch.com/2024/05/12/alora-baby-rethinks-what-new-even-means/,Haje Jan Kamps,2024-05-12T08:00:00-07:00
Workers at a Maryland Apple store authorize strike,https://techcrunch.com/2024/05/12/workers-at-a-maryland-apple-store-authorize-strike/,Anthony Ha,2024-05-12T08:40:13-07:00
Google partners with Airtel to offer cloud and genAI products to Indian businesses,https://techcrunch.com/2024/05/13/google-partners-with-airtel-to-offer-cloud-and-genai-products-to-indian-businesses/,Manish Singh,2024-05-13T00:49:28-07:00
TechCrunch Minute: Streaming services are basically just cable now,https://techcrunch.com/video/techcrunch-minute-streaming-services-are-basically-just-cable-now/,Anthony Ha,2024-05-13T09:00:00-07:00
White House proposes up to $120 million to help fund Polar Semiconductor’s chip facility expansion,https://techcrunch.com/2024/05/13/white-house-proposes-120-million-fund-polar-semiconductors-chip-facility-expansion/,Aisha Malik,2024-05-13T09:46:22-07:00
The women in AI making a difference,https://techcrunch.com/2024/05/13/the-women-in-ai-making-a-difference/,Kyle Wiggers,2024-05-13T10:00:00-07:00
,https://techcrunch.com/podcast/openai-gpt-announcement-apple-strike/,Alex Wilhelm,
‘Got that boomer!’: How cybercriminals steal one-time passcodes for SIM swap attacks and raiding bank accounts,https://techcrunch.com/2024/05/13/cyber-criminals-stealing-one-time-passcodes-sim-swap-raiding-bank-accounts/,Zack Whittaker,2024-05-13T05:05:21-07:00
"Google’s 3D video conferencing platform, Project Starline, is coming in 2025 with help from HP",https://techcrunch.com/2024/05/13/googles-3d-video-conferencing-platform-project-starline-is-coming-in-2025-with-help-from-hp/,Kyle Wiggers,2024-05-13T08:18:36-07:00
OpenAI’s ChatGPT announcement: Watch live here,https://techcrunch.com/2024/05/13/openais-chatgpt-announcement-what-we-know-so-far/,Anthony Ha,2024-05-13T08:00:00-07:00
Permira is taking Squarespace private in a $6.9 billion deal,https://techcrunch.com/2024/05/13/permira-is-taking-squarespace-private-in-6-6-billion-deal/,Paul Sawers,2024-05-13T04:15:35-07:00
Instagram expands its creator marketplace to 10 new countries,https://techcrunch.com/2024/05/13/instagram-expands-its-creator-marketplace-to-10-new-countries/,Ivan Mehta,2024-05-13T07:22:28-07:00
